又是烂三元？
江疏影的演技被这些老戏骨甩出几条街，实在是没有任何表情
还掏钱点播呢！我要把会取消了！！！
为啥还没解决超前点播的这事，搞的我都不想追剧了，实在不行就吧腾讯卸载了
车晓我的女神
江疏影演的没有30多岁应有的成熟
不是的，我发错了。\u0026#039;
超前点播要单独付钱吗？腾讯是不是在作死,买过会员了还早单独收费
你不是还有个警察朋友吗？笨蛋哎
怎么更新的这么慢，好期待看到结局哦
vip没啥用啊，看还得花钱解锁。看来不买vio是对的
都说好看，我也来看看
官大压一头这娘们
什么呀、花钱也不让看完
谁给我剧透一下，刚开始看，李成阳是好的，还是坏的
更新更新更新更新
混沌馆老板娘是谁扮演的，太漂亮了
大江原声
我感觉贺云是内鬼
孙兴可恨，也很可怜，从小没有父母之爱，
凡是能用体力解决的事，坚决不用脑
23集为什么没更新？
超前点播，怎么举报。到哪举报
最后两集为什么不更新呢？
在家无聊，求大家推荐些好看的电影和电视剧
为什么还是要花钱呢，不是严打了吗
都是棋子，都是自己选择的路跟生活
搞什么名堂，还超前点播，我不是充了会员了吗？😡😡😡
难道现实里也有这样的黑势力吗
挺好看，很喜欢孙红雷，演技真好
垃圾腾讯，看完就把你卸载，吃相真难看
垃圾腾讯一直广告。不看了
交警队吗？我要举报有人坐车没系安全带！
怎么没人说说这个腾讯视频欺诈行为呢？
孙兴也是个孩子，内心的缺失导致他的变态
好看
VIP还要花钱买更新，腾讯这是和ZC唱反调，早晚会翻船
我开了个假会员，解锁再付费
超前点播，超超前点播。
27级呢？
腾讯越来越不像话了，VIP充了看到中途还要每集三元解锁才能看，你当我们的钱都是捡来的吗？
这个古墓，我投资了6块
何队有问题
超前点播要不得。
林生斌，浙江
年轻人三观不正，值得深思，不止是萌萌一个人
为啥超前点播还没下
广告倒计时都结束了还要我看广告😔
想起了刘奕君演萧思温的时候
马帅怎么会娶了这么一个煞笔女人呢
后面黄希不是要离开嘛为什么又突然和林浩去墓地了？
这些黑警合这些腐败的领导都该死！
中江省常务副省长
你这容瓜保熟么
这广告是真多呀
10分钟来一次广告，还能不能让好好追剧了。
纪委介入,为啥要超前点
看到有刘奕君，追剧
#谁是终极大BOSS#牛哥才是最大的
如果事件都是根据真实案例改编,那么现实社会是多黑暗…
几个意思？我开会员还看不了，提前看还要给钱💰💰💰💰💰💰，难怪不得人家赚钱套路深
啤酒喝出白酒味
看图
超前点播没人举报吗？
比起《人民的名义》差远了！
超前点播太恶心。
穿帮了：工作人员都拍摄进去了
看故事逻辑应该是省长。但背影不是，这个年轻特别像董耀，但他自首关起来了，所以这个背影更可能像是中央下来的裴勇。
冲！
这个电视是不是跟之前那个人民的名义差不多？
哈哈哈水路跑
真恶心怎么还有超前看3元，不是开了会员了吗
请问VIP的我就是想三元钱看第25集，怎么看？
以为她姐姐只是挨打了可
为啥没有声音了
朋友们，超前点播啥时候更新成VIP啊？？
烦死这些广告了
什么破电视剧还得超前看花钱,一点儿都不好看
腾讯早晚倒闭
故事情节还是不够引人入胜。白瞎这阵容
很好看的电视剧
"超前点播，VIP里的VIP,."
支持正义，为工作在扫黑风暴的工作人员和领导点赞，祝坚持正义领导人工作顺利，身体健康，家庭幸福！人民群众持支你们！
你师傅的也不对
朋友推荐来看的，觉得很精彩，演员阵容强大
孙兴那段改了？不是直接乱枪打死了吗
看完就卸载，腾讯视频太黑
卧槽，不花钱不让看，开会员有啥用
为了孙红雷和张艺兴开的会员。
b非分之想，做这做那安利日
太……好看了！！！
孙红雷到底好的坏的
弑其父，屠其母，还拿其女当礼物。高明远真的好毒。
超前点播，吃相难看！
充值会员还要花钱解锁？？？
徐文徐文
英子跳楼就不正常，她不是还有爸妈吗？他爸妈身体也不好，他爸妈的儿子，女儿全都死了，他爸妈怎么活，这个导演是怎么想的？？？
腾讯的破广告啥玩意
已经是充值会员了，还要花钱解锁看？！？！？无语！！！！！
看见江疏影果断快进
孙红雷有没有那么厉害
剧本漏洞太多，人物大都是工具人。只是演员演技都在线吧，7分水平。\n离迷雾剧场差好大一截呢
嘴型对不上啊
虎头蛇尾，莫名其妙
不知道大家对这个超前点播都是怎么看的，三块钱能买个苞米吃了吧😅
还是得花钱看啊，这人民日报批评半天也没用啊
看的晚了，现在刚刚看完第6级，真的是生鸟气，这傻鸟弟弟和傻鸟姐姐，真是绝了，不愧是姐弟，虽然知道这是剧情需要，但是没必要给强行降智吧
腾讯，真好，本来就是会员，看个电视，还得付费，那我，买会员，有屁用啊，
都被点名了，还不取消超前点播，不亏是鹅家的。。
#扫黑风暴细节可真绝#剧情精彩，绝绝子，推荐
烂片之王
中国什么时候出现个中江省
很好看的一部剧，值得推荐
现在返回来看这一段意味深长啊！谁黑谁白面部表情处理得相当到位！
#扫黑风暴细节可真绝#
警车多会换教练车了？
这段时间就三件事，上班吃饭看扫黑，你们懂的！
这段时间就三件事，上班吃饭看扫黑，你们懂的！
何勇眼眶湿润了，演的太好了，他心疼阳阳，14年背负的东西太沉重了，已经不相信人类了
这个影片真的很好看
前方高能预警，非战斗人员请立即撤离
我也来,学习,学习他们讲话,。\n这里面的人演的真的是太好了,好的不得了,各方面都到位了,真的看得我泪流满面,😂😂😂
太压抑了,这就是人性,这也是现实
项总很皮啊。不打不听话
家人们！裴伟到底能不能拿到庆功宴入场券啊？他像是坏的，可是后边似乎又没事了？\n#绿藤庆功宴想坐哪桌#
非常喜欢看着这类电视剧，精彩
好看(｡･ω･｡)ﾉ♡
好难入戏😿
消保委都通报你了，你还敢超前点映？
高明远，人间野兽，比虎狼蛇豹要凶恶得多！
搞个超前点播，期待你死的那一刻
这电视是专门给人拍特写的，哪个人都挺半天不说话就拍镜头呵呵
会员费交过了，后面还要一集3元解锁，一下让人觉得很恶心，不吃饭不行，不看电视剧完全可以
为什么今天27级还不更新
广告太长
侯爷的古装剧造型好看哈哈哈
孙兴十恶不赦，但是看到给妈妈过生日这一幕又觉得他很可怜！
怎么不更新
国家说腾讯吃相难看
这广告也有点太过分了吧，暂停一下都得重看一遍广告啊！
笑死
配角都在背台词🤙🤙🤙
男演员都背台词，女演员加油背台词
能不能背台词，几大女主都对不上口型，看着不舒服
孙兴跟黄希不认识吗？不应该是唐兄妹吗？
什么意思啊，VIP今天也不更新
本来都在用美团，但是被腾讯搞反感了，卸载吧
腾讯也是想钱想疯了
档案室都这么高级吗
这里面有什么歇后语啊,忘了,求
我也来,学习,学习他们讲话,。\n这里面的人演的真的是太好了,好的不得了,各方面都到位了,真的看得我泪流满面,😂😂😂
还超前点播呢，再这样也得凉凉
#扫黑超点观影楼#一报还一报啊哈哈，艺兴好样的
今天晚上能更完麽
牛头梗的电影好看得很
27集怎么没更新呢？
soul的广告太烦了吧
已经是VIP了，还再超前点播交钱看，这合理吗？
27为啥不更了！！！！！！！！？？？？？
腾讯视频有点坑人，交费了也不能看VIP
今天不是二十七集更新吗
搞笑呢吗，三次了广告完了就一直这样？？？？
海超前点播呢？都曝光了，真不要脸腾讯，等看完扫黑风暴，我必卸载
怎么不更新了
26集不更了啊？
腾讯太垃圾，这是广告里插电视剧啊
在监狱里还能这待遇
李成阳应该让吴秀波来演最合适
剧中的孙兴也挺可怜的，如果再来一回，我想他也不想在这样的环境中出生，是环境造就了这样的一个孙兴，谁不想在家庭和睦中长大，也是可悲啊，纯属个人观点，不喜勿喷
直接吓唬晕过去了。下
这段模仿的够像。中
路过看看怎么样，你们有意见吗
活学活用，笑死我了。上
吴晓亮（孙兴）是真帅呀,痞帅痞帅的,简直绝了啊！！泳泳池那段简直了,我直接就没了啊,我好爱啊,bushi我只磕亮哥不磕孙兴
心儿永远向着未来，现在却常忧郁。
孙兴也是可怜，如果父母亲生下他好好教育，他的人生又是另外一种光景
现实当中要是都像这女的这样车没来呢就先跪，后车带着音乐来了耳聋还听不见，那这世界就完了，没人类了
周丽间：车晓。
腾讯真的是充了会员还搞什么3元提前看，没意思
地瓜学坏了
打黑除恶就是要坚定不移打下去！
陈建波：周晓鸥。
点播你大爷
大江：苏可。
李成阳：孙红雷。
死了那么多无辜的人，坐牢，处罚，能叫做是还吗？？？还得清吗？\n早干嘛去了？？？
超前点播，挺会玩啊腾讯
唐耀：谭凯。
提前点播，漂亮,几年的vip,到期不续了
这集看着火大，陈建波是傻子吗？看着大江被打死
骆山河：刘之冰。
周能远：王志飞。
何勇：刘奕君。
林浩：张艺兴。
李成阳：孙红雷。
腾讯奸商啊，会员还得花钱点播，必须卸载
垃圾腾讯，为什么要3块钱一集才能看，开会员不就为了看吗，会员还得花钱
跟猪一样了
扫黑疯爆
孙红雷这里面感觉在演，角色不好
这广告，，，
这黑社会疯狂到了什么程度，杀务必尽！
哈哈哈哈敬酒不吃吃罚酒
还敢搞超前点播
人家记者知道林浩在干嘛？他走了怪人家记者干嘛？再说了是林浩决定要去找记者的，更不关记者啥事啊\n林浩知道这个所长都是黑的？怪人家小林警官干啥？\n最坏的不应该是孙兴和这个所长狼狈为奸官商勾结吗？该批判他们呀，怎么想的呢
计算机没有六级
除了傻笑和浮夸的肢体，我真不知道这个姓孙的那里有一点点演技
什么玩意，还批量解锁？
麦佳，这个女人有点意思，
超前点播,什么鬼
腾讯你都被点名了，还超前点播
会员还要额外花钱看超前解锁，这是什么逻辑？
其实徐英子的悲剧也是她自己造成的
充了会员，又要解锁？呵呵呵了
林浩强奸，警察为什么不把女当事人一起带走，怎样固定证据呢！
今天没有更新吗？？？
太可怕了，看到警察也是往死里打
这广告无孔不入啊
这剧竟然30多亿的播放
怎么没有更新
腾讯视频垃圾，有会员了还要花钱解锁，垃圾垃圾
这完全就把昆明的孙小果拍的淋漓尽致了嘛
签合同这段没海哥演得好
最佳男主：孙兴
贺云生日这场，疏影完全没接住戏啊
这部剧太好看了,好多演员的演技都好牛
#扫黑风暴#2021年度良心剧！剧情张驰有度，人物刻画立体丰满，演员演技炸裂，可惜的是最后收尾有点虎头蛇尾，有些细节还需要进一步推敲，不过正义永远不会缺席！为李成阳、何勇、大江打call！👏👏👏优秀
太可恶了，什么玩意，充了会员又什么超前点播，3元一集，真垃圾。我不看了，你慢慢超前点播吧
超前点播很讨厌
会员还要超前点播？腾讯吃相太难看了，腾讯倒闭之时，必万民拍手相庆！
扣人心弦，令人发指，群情激愤，稍安勿躁，善恶终有报
剧情太老套，可惜演员阵容了
真不想追了,好累人
怎么还不更新了难道是这个月看完了，下个月没有人用会员了
1#扫黑风暴演技夸夸群#
有会员了，还超前花3快钱看？就看免费的哼
充了钱还花钱点播，什么玩意
买了会员还要买超前点播，腾讯，你想钱想疯了吧
比起这题材，我更喜欢看天龙八部。
老演员就是牛，微表情好棒
剧情很好，但是为什么词不对口
真的好讨厌贺局，觉得刚开始督导组来的时候就不是好人，果然真的我猜对了
这么正能量的剧，为什么要收钱才能看，那我们开会员有什么用？谁规定的解锁看？
腾讯视频！超前点播的钱你要拿好了不要被国家罚你个倾家荡产！
什么扯白打屁烂剧情
是会员的举手？为什么会员还要超前点播呢？大家以后不要充会员了没用
全剧打广告是唯一的败笔！
孙红雷演的过度表情，居然有人说演技？？
靠，又搞超前点播，开个会员有什么用啊
超前点播，二次收费。不是已经有过诉讼案件吗？
一步错步步错
越看越没意思
会不会配音？
现在坐牢还有这样的待遇，这电视太假了吧！导演想什么
王政最后咋样啦
故意错的吗？
腾讯视频黑，已付款成为VIP会员，还要每集付3元，奸商。
听说了靠子才来的
我是大风大浪都见过的海总，我会怕督导组？督导组是什么鬼？最后反转太大了。哈哈！！！
超前点播能在高点吗？6块怎么样？ex
艺兴小哥哥爱了么么哒👄
张艺兴太爱了。爱你爱你👄
我也思量髙明远咋能有老宁这能人在身旁效
好一手差钱点播
这部比其它反腐剧，真实多了，引人入胜好爱看。
大嫂真丑呀此女是车晓有名的心机表
开了会员还是看不了什么意思呀
贺云绝对是高明远培养出来献给王政的，孙兴是贺云王政的私生子，高明远不可能这样对自己的儿子，不教好是给王政留一手。
充了会员还要钱
天啊，这几集简直了
昨晚上一集都没有看上，这VIP当的，郁闷啊！该死的腾讯，都不给VIP更新了吗？什么意思啊？
孙红雷第一演技就是装神弄鬼！没法看
讨厌一而再，在而三的收费！
同意我和李成阳婚事的点赞
林浩是智障吗？送上门的非要给人家看一眼，煮熟的鸭子飞了？
为啥没声音
#推测扫黑中都谁是坏蛋#腾讯视频
对腾讯越来越失望了,广告越来越长,会员积分要有会员才可以换,超前点播更让让无语,真的失望
这是那个买瓜那个片子吗？
吃相真难看
结尾为何花钱点播不了啊？
没脸！嗨超前点播。
孙兴的妈妈是贺芸，继父是高明远
这不是按照孙小果真实案件来演的吗？
这是好先生剧组吧！
一集三块
就是骗骗浦东老百姓的骗局
超前点播是个什么操作，太不要脸了吧，开会员有屁用，垃圾玩意
一个低能儿孙小孩，最大卧底呀，真的最大的突破口呀
不要花钱买。千万别买。\n一点都不好看，还烂尾。\n不给钱我都有点看不下去
这不是王天风吗？淹好人了吗？
妈妈双眼皮儿子单眼皮
27集没更新吗
尤其是垃圾极速版快手，低俗幼稚🌿
不买会员就让你看三分钟的广告
麦佳是爱情公寓2里面被关谷救的那个心脏病女孩
今天怎么不更新了啊
按照电视演哦孩子想的到母爱才极端，但是现实案太残忍
司马超强点播,恶心吐了
大江和老头对打，就这样被干掉，好憋屈····
现在不存在信号不好
这孙红雷的戏看着就是得劲舒服😌
看到这里，有培养艺技，可以继续发展并不是艺术
何对请我吃坚果，为什么还要钱呀
没冲会员一集给我来三个广告\n我:？？？
又是超前点播我开会员是为了干嘛？会员有什么用？搞捆绑销售？真黑
有啥别有弟，没啥别没姐
真要说两句，这个负责纪委审查的女的，真是个人才，证据和说辞就是白吃，纪委要是你这样的，那中国纪委真是完蛋了，希望只是演戏
派出所可以没有痕迹，也能出成绩，看个人
腾讯真孙子
垃圾广告
每天更新一集，有意思吗
#扫黑超点观影楼#
好片，被那耳鸣声毁完了，不头疼，听的一会就头疼😩😩😩😩😩😩😩
一看这样的剧情孙红雷应该是卧底。
马帅，搬短小拇指，而且他也说了是他，意味着自己死
#扫黑风暴追剧疑问#
为什么三元三元又三元都十八元了大哥
林皓我就真服，之前强行加戏就算了。也能看下去，这次非要先去饭店被人家摁哪里，真就变成脑残剧了？真的，林皓换个性别，真就骂声过万，之前看剧总有些脑残女主影响看剧。这个林皓也不差有的一拼。
今天不更新吗
一共多少集？
VⅤIP，
超前点播为什么播放不了
绿牌是什么意思呢
太垃圾了腾讯视频
某种意义上来说，这个gou胡所长比孙兴更坏。
这不是玲玲吗
贺局尽然是坏人！
好看
广告多
喜欢贺云
广告一分多钟,服了😅
腾讯穷疯了，没别的意见了
会员买了，又要点播，腾讯视频,都是坑啊
都会12345678
8🈷️30日打卡，有没有比我更晚的？
一天到晚都是烂广告,一节四十分钟三个广告,腾讯这是没钱了吗,一天到晚接广告
太黑了腾讯，有会员还要花钱解锁，想钱想疯了
根本就没有中江省绿藤市！
好人身边全是坏人，你说怎么弄？一言一行都不能乱说啊！否则敌人永远走在前面。
这部电视剧里的城市和省府根本就没有！虚构出来的！
这是什么牌子的白酒？一瓶能倒五杯？还是二两五的杯子#扫黑风暴追剧疑问#
李大力是咋回事
这个贺云之前演的那个三真是让我印象深刻啊……刚看一集就感觉别扭的很🙈
黄希心中小姨的正直形象一下子崩塌了，估计都不敢想象
全剧最惨就是麦贾，父母被害，自己还为贼人出卖了自己，命运的悲哀啊
还不能投屏了
垃圾腾讯，看剧五分钟，广告两小时
看着好人斗不过坏人，真气啊！
大江是个白痴吧
提前点播不是被告了吗？
广告多的一塌糊涂,是不是可以去举报呀
这个王政是不是汪正正
孙红雷，还是演坏人看着更舒服，哈哈哈
腾讯真孙子
腾讯资本够狠
咦
这记者有点多余
今儿没更新吗？
超前点播吗？
三元解锁，为啥广电还不点名？
2018年的薛梅用摄像机？
孙兴是谁，什么背景
超前点播比我们高总还黑啊
吃相真难看
董耀这个人死不足惜，被高明远威胁还要为虎作伥
她是个什么东西，抱老头
黄兴是什么身份
也没有疤痕
什么玩意儿，超前点播，赶紧出台政策吧
超前点播不是违法吗
为啥今天不更新
佐佐木疏影
这女的演的太假了
一
还有超前点播都被点名了
感觉剧情拖拖拉拉，看不下去。看到第六集都没有看到精彩部分。。。。
这腾讯会员要着啥用，还要钱解锁真厉害
腾讯这个超前点播是真损啊
粉红色保温杯太抢眼了
给你脸了！是吧
提前点播是不可能的。臭不要脸的企鹅。
这兄弟关系过硬
腾讯真孙子
大江揍那个孙兴过瘾，感觉作为观众憋屈的情绪一下子就释放了
好先生演员已就位😋
入了会员，你又来个提前点播！套路牛！
这女警察,很明显看出来人不行了,还在哪一直说的不停
不是超前点播被投诉去了吗，钱能退吗
我就服孙红雷👍
腾讯太猥琐了,快结束,会员一天一集都不更新了,三块钱就不给你,看你憋多久。祈祷腾讯快点被打击，赚钱不要脸了
#扫黑风暴#，剧情里的孙兴，和郭所长演的最好。太真实了
我每年的年费会员现在没用了？
多么无助无奈的平民百姓！
竟然看孙红雷出戏,这眼睛眨的夹苍蝇呢,和老戏骨一对比高下立现,潜伏中的孙红雷呢
变态，还得逐集解锁，捆绑消费
吃相太难看！明明是会员还搞个超前点播❌
Tengxiun真无耻，变着花样要钱
我是来看剧的么？不我是来看超前点播的
垃圾APP，买了会员还要给钱超前点播。再也不会买腾讯APP了。垃圾，没道德，没素质，想钱想疯了。
孙红雷也老了，只是不明显
会员还得在超前点播，过份了！
孙红雷演个卧底就是一败笔
27集快快快
这里面的林浩,没智商，差不多相当于黑警，害了至少两条命。,演技不够………
演的不容易
我把明年生日的愿望提前许了：希望腾讯早早被国家整治，改为国企，并拆分
这个江疏影那么老还还装扮小姑娘👎👎👎
快手这个视频我真的是看的够够
你要是个实实在在的卧底，我没话说，这部剧的人物演技最差，不解释
好毒的电视剧
不喜欢英子
张艺兴的演技真是不精彩啊，继续努力学习吧。
从第一集我就觉得贺云有问题。。
剧好看，VIP就VIP吧，还弄个超前点播，要不要接着再分几集出来弄个超前点播VIP啊？
看不到最新的真的是太烦恼了
孙红雷演的他自己，角色本人没演出来。
评分那么高？
是∨IP了为什么还要超前点播收费？那∨IP的意义又是什么？难道独家首发就可以乱来？再这样绝对会被群攻也绝对会倒闭！
#扫黑风暴#完美结局👫
孙红雷还有耳洞呢？话说腿好短🤓
骑士总冠军
明天是不是更新两集,我们是会员
期待
都掉了钱眼里的看个电视还花钱，跟剧情有一拼
腾讯是真狗，广告能再多点吗
感觉去除一个败类，道阻且
傻白甜，活该
真好！每有一个人物都很饱满。而且都一份情在里面。孙兴十恶不赦，但那种渴望母亲的爱，看着也很心酸。最主要是很教育人，王政，董，胡，曾经发愿成为共产党员，最终丢了初心。\n如果人人找回初心，为国家，为人民，为党。中国精神进入每一个人的灵魂。中国必强，人类命运共同体一定能实现！
这么好的片应该号召所有人都来看，干嘛还要开什么会员才能看#扫黑风暴#
"开通vlp..,还要花钱购买片段，你们不觉得这是恶心至极吗？！"
给你脸！你不中用啊！
孙兴就是个废物，有这样的儿子早就该丢弃
腾讯要钱不要脸了
第六集，证据警察是有权利征用的，账本，公民也有义务交给公安的。实在不理解编剧安排一个这么无知的记者角色是什么意图。江疏影是好看，但是全剧中就这个角色选角不对。她的演技达不到
还有好看的剧本吗
一集三次广告？
哭剧一段台词貌似没记住
最不要脸的就是腾讯，会员还搞超前点播，死不要脸
这是没星期更新一集吗
腾讯视频飘了，
都是骗人的鬼
就没搞懂腾讯怎么回事，充这个会员有啥用？还要钱点播
孙红雷是个坏蛋啊，,看眼神就不对啊。,真像。
看我开始看书看上课上课上课了老师上课说跨学科性，贷款的，，，，的，的，的，的，，的，小，是，是，是，是，小，小，下，，惺惺相惜，下，，想看看书看上课时时刻刻可可可可可可
腾讯这个中插广告可真是太糟心了。。
为什么没有27级
车裂，车裂商鞅。
第一次薛梅跪在马路那里有瑕疵吧，这车队都还没到就拦在路中央？如果车队快到了，撞死这么大个人看不见？
#扫黑风暴#,这部剧唯一不好的就是花了VIP还收三块，这让消费者很难受，虽然不是强求花钱看。但是你已经收过一次费用了，不合情理
#扫黑风暴#大家都花了vlp还收三块一集。有没有一点收费道德底线。
服了这广告了
更新速度像蜗牛
会员为什么有广告？以前开会员就是为了没广告，现在开了会员，还不是跟以前一样…唉😔骗子，让我活成了傻子…
这个超前点播啥时候能去掉…受不了了
真是坑会员也没啥用，还要钱解锁想看个电视剧也不容易
什么啊！为了看这部剧办个会员！然后还得花钱看！
麦嘉的原型是哪个明星🤭
胡所演技太好了，这部剧里的反派笑点人物之一。大赞老戏骨
人民日报都点名你了，能否有些觉悟！消磨观众信任，必将引火上身！会员都开了，还要我们付钱，你们真是唯利是图了
作为母亲太难了
林浩的角色是唯一的败笔
一看编剧就没参加过政府会议，哪有当领导面说加个微信，再建个群的，当自己家啊
21集嘴型和台词对的上吗
玉楼春的想
腾讯不作死就不会死
这个贺云看着不像什么好人,因为她以前演的前半生的小三🙃
这女的不是在警官学院上过学的嘛，为啥感觉这么蠢#扫黑超点观影楼#
有谁计算过孙红雷总共戴了多少款眼镜的吗？不知道是哪个眼镜公司赞助的，还是他喜欢眼镜戴的自己的，不过眼镜挺好看！
烦死这个快手广告了！
就不买,坐等更新
腾讯视频这么垃圾，会员还要放广告，还要办VIP
星期天不更新啊？
电视剧中插播广告是不是违法的？
我就纳闷了,，腾讯集团差那几块钱嘛，差吗？搞什么超前点播，你们这是捆绑销售
为什么都不录音呢,保留证据？？
超前点播还不收手嘛？
这个宣誓的广告可以举报吗
这个宣誓的广告可以举报吗
腾讯你要点脸吧，又整个超前点播，意思是会员也不好使，那还冲会员有什么用，你这是欺诈消费，捆绑销售，
